México,América Latina y el Caribe,Europa y Asia Central
57.06563415,56.04337354,67.03002722
57.65614634,56.53046009,67.39474077
58.1802439,56.99924082,67.48937478
58.64290244,57.44986134,67.75993274
59.05558537,57.88491803,68.15814415
59.43370732,58.30864602,68.31097575
59.79321951,58.72726403,68.52277183
60.15153659,59.14570159,68.64870195
60.52309756,59.56695441,68.72086537
60.91936585,59.99241963,68.72908241
61.3502439,60.42018041,69.00872358
61.81917073,60.84572776,69.14600238
62.31765854,61.26269035,69.34941683
62.83782927,61.66755747,69.4436103
63.37426829,62.0587818,69.64602099
63.92014634,62.43744897,69.61942434
64.46860976,62.80705845,69.71945911
65.01282927,63.17250269,69.89160631
65.54592683,63.53725745,69.98153798
66.06302439,63.90311075,70.10061738
66.56021951,64.26961848,70.20455751
67.03704878,64.63513359,70.47035075
67.49592683,64.99826656,70.76182148
67.94078049,65.35372172,70.83195135
68.37202439,65.70550521,70.98289096
68.79260976,66.05205737,71.19546568
69.20343902,66.39349404,71.67946451
69.60741463,66.73247132,71.8937546
70.0064878,67.06851976,72.01731604
70.40158537,67.40683083,72.07586311
70.79573171,67.75062127,72.07430446
71.19097561,68.10469599,71.98085978
71.58582927,68.47129404,71.90668899
71.97782927,68.84781982,71.58562721
72.36385366,69.23447236,71.65159653
72.73978049,69.62689413,71.84212164
73.09890244,70.02065133,72.1962598
73.43714634,70.41001384,72.5856092
73.75141463,70.78703709,72.80616531
74.0392439,71.14922341,72.8986892
74.29973171,71.49815918,73.02607189
74.5334878,71.81814984,73.34169908
74.74470732,72.11966881,73.40033638
74.9375122,72.39877426,73.50802325
75.1154878,72.66052876,73.93472599
75.28209756,72.90766639,74.08919615
75.43878049,73.1434591,74.57271676
75.58792683,73.36994029,74.92014231
75.73246341,73.59196243,75.16668039
75.87741463,73.80813132,75.55267681
76.02678049,74.02854175,75.84692903
76.18565854,74.25251725,76.38335085
76.35409756,74.47639215,76.56936788
76.53265854,74.7022015,76.78973192
