Año,Crecimiento del PIB (% anual)
1961,5
1962,4.664414668
1963,8.10688693
1964,11.90548076
1965,7.1
1966,6.096139301
1967,5.854924878
1968,9.423278819
1969,3.418620026
1970,6.502484033
1971,3.762467687
1972,8.22880731
1973,7.861119861
1974,5.776827231
1975,5.744485049
1976,4.417444135
1977,3.390639707
1978,8.956942327
1979,9.698170138
1980,9.233251984
1981,8.772600561
1982,-0.62790261
1983,-4.196296575
1984,3.610180912
1985,2.593384139
1986,-3.753919881
1987,1.855746992
1988,1.245438058
1989,4.198293259
1990,5.068306312
1991,4.222250716
1992,3.628658714
1993,4.061425854
1994,4.727354829
1995,-5.75868238
1996,5.874766683
1997,6.962888801
1998,4.701842416
1999,2.667013147
2000,5.296473838
2001,-0.60549239
2002,0.131917169
2003,1.422671242
2004,4.295714251
2005,3.032573659
2006,4.944514348
2007,3.22483782
2008,1.379943167
2009,-4.743671936
2010,5.199124892
2011,3.919583933
2012,4.038885998
2013,1.394899589
2014,2.230794662
